Oklahoma, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,2.02,0.59
195101,1.38,-0.05
195201,0.91,-0.52
195301,0.69,-0.74
195401,1.07,-0.36
195501,1.04,-0.39
195601,0.75,-0.68
195701,1.60,0.17
195801,1.61,0.18
195901,0.39,-1.04
196001,1.73,0.30
196101,0.37,-1.06
196201,1.11,-0.32
196301,0.45,-0.98
196401,0.72,-0.71
196501,1.34,-0.09
196601,1.04,-0.39
196701,0.64,-0.79
196801,2.54,1.11
196901,1.45,0.02
197001,0.31,-1.12
197101,1.24,-0.19
197201,0.37,-1.06
197301,2.93,1.50
197401,0.75,-0.68
197501,2.00,0.57
197601,0.10,-1.33
197701,1.08,-0.35
197801,1.02,-0.41
197901,1.86,0.43
198001,1.50,0.07
198101,0.26,-1.17
198201,2.47,1.04
198301,1.20,-0.23
198401,0.66,-0.77
198501,1.69,0.26
198601,0.03,-1.40
198701,2.13,0.70
198801,1.23,-0.20
198901,1.86,0.43
199001,2.99,1.56
199101,1.51,0.08
199201,1.31,-0.12
199301,2.18,0.75
199401,0.92,-0.51
199501,1.96,0.53
199601,0.92,-0.51
199701,0.48,-0.95
199801,3.54,2.11
199901,2.13,0.70
200001,1.15,-0.28
200101,2.22,0.79
200201,2.16,0.73
200301,0.07,-1.36
200401,2.18,0.75
200501,3.50,2.07
200601,0.94,-0.49
200701,2.16,0.73
200801,0.51,-0.92
200901,0.66,-0.77
201001,1.86,0.43
201101,0.28,-1.15
201201,1.86,0.43
201301,1.77,0.34
201401,0.33,-1.10
201501,1.21,-0.22
201601,0.50,-0.93
201701,2.59,1.16
201801,0.53,-0.90
201901,2.10,0.67
202001,3.60,2.17
202101,2.24,0.81
