New Hampshire, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,1.84,-1.78
195105,3.19,-0.43
195205,4.28,0.66
195305,4.50,0.88
195405,7.84,4.22
195505,2.79,-0.83
195605,3.28,-0.34
195705,3.40,-0.22
195805,3.13,-0.49
195905,1.46,-2.16
196005,4.49,0.87
196105,3.25,-0.37
196205,3.10,-0.52
196305,3.06,-0.56
196405,2.40,-1.22
196505,1.15,-2.47
196605,3.04,-0.58
196705,5.53,1.91
196805,4.58,0.96
196905,2.58,-1.04
197005,3.76,0.14
197105,3.59,-0.03
197205,3.90,0.28
197305,5.83,2.21
197405,5.50,1.88
197505,1.77,-1.85
197605,5.22,1.60
197705,1.96,-1.66
197805,3.30,-0.32
197905,5.58,1.96
198005,1.59,-2.03
198105,3.83,0.21
198205,2.03,-1.59
198305,6.18,2.56
198405,9.93,6.31
198505,3.31,-0.31
198605,3.14,-0.48
198705,2.02,-1.60
198805,3.65,0.03
198905,6.03,2.41
199005,5.85,2.23
199105,3.60,-0.02
199205,1.70,-1.92
199305,1.44,-2.18
199405,4.40,0.78
199505,3.05,-0.57
199605,5.49,1.87
199705,3.28,-0.34
199805,3.35,-0.27
199905,3.49,-0.13
200005,4.65,1.03
200105,1.92,-1.70
200205,4.69,1.07
200305,4.50,0.88
200405,5.41,1.79
200505,5.16,1.54
200605,9.17,5.55
200705,3.54,-0.08
200805,1.12,-2.50
200905,4.70,1.08
201005,2.29,-1.33
201105,5.09,1.47
201205,5.74,2.12
201305,5.48,1.86
201405,4.56,0.94
201505,1.95,-1.67
201605,2.43,-1.19
201705,6.55,2.93
201805,1.65,-1.97
201905,4.54,0.92
202005,2.72,-0.90
202105,2.96,-0.66
