Louisiana, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,3.22,-0.90
195109,6.74,2.62
195209,2.21,-1.91
195309,0.87,-3.25
195409,3.00,-1.12
195509,2.69,-1.43
195609,2.62,-1.50
195709,7.60,3.48
195809,9.38,5.26
195909,2.65,-1.47
196009,2.42,-1.70
196109,5.68,1.56
196209,3.21,-0.91
196309,4.63,0.51
196409,4.62,0.50
196509,6.60,2.48
196609,4.08,-0.04
196709,3.00,-1.12
196809,4.66,0.54
196909,2.10,-2.02
197009,4.81,0.69
197109,7.67,3.55
197209,4.51,0.39
197309,10.10,5.98
197409,5.80,1.68
197509,3.41,-0.71
197609,3.13,-0.99
197709,5.16,1.04
197809,3.43,-0.69
197909,6.66,2.54
198009,3.85,-0.27
198109,3.09,-1.03
198209,3.96,-0.16
198309,5.00,0.88
198409,3.15,-0.97
198509,6.03,1.91
198609,3.71,-0.41
198709,2.75,-1.37
198809,5.20,1.08
198909,2.73,-1.39
199009,3.68,-0.44
199109,4.12,0.00
199209,4.28,0.16
199309,2.77,-1.35
199409,3.20,-0.92
199509,2.48,-1.64
199609,5.82,1.70
199709,2.54,-1.58
199809,10.90,6.78
199909,3.50,-0.62
200009,3.69,-0.43
200109,6.34,2.22
200209,6.18,2.06
200309,4.82,0.70
200409,1.75,-2.37
200509,5.96,1.84
200609,3.14,-0.98
200709,5.10,0.98
200809,8.99,4.87
200909,6.11,1.99
201009,1.30,-2.82
201109,7.00,2.88
201209,5.66,1.54
201309,5.71,1.59
201409,2.99,-1.13
201509,2.76,-1.36
201609,3.18,-0.94
201709,0.88,-3.24
201809,7.61,3.49
201909,1.79,-2.33
202009,4.24,0.12
202109,6.93,2.81
