South Dakota, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,1.38,-2.05
195106,4.52,1.09
195206,3.42,-0.01
195306,4.91,1.48
195406,4.20,0.77
195506,3.09,-0.34
195606,2.06,-1.37
195706,4.07,0.64
195806,3.16,-0.27
195906,2.43,-1.00
196006,3.45,0.02
196106,2.42,-1.01
196206,4.84,1.41
196306,4.03,0.60
196406,4.56,1.13
196506,3.84,0.41
196606,2.43,-1.00
196706,6.16,2.73
196806,5.35,1.92
196906,3.19,-0.24
197006,2.67,-0.76
197106,3.48,0.05
197206,2.79,-0.64
197306,1.61,-1.82
197406,1.57,-1.86
197506,4.20,0.77
197606,2.92,-0.51
197706,2.84,-0.59
197806,2.61,-0.82
197906,3.43,0.00
198006,3.03,-0.40
198106,2.79,-0.64
198206,2.48,-0.95
198306,3.58,0.15
198406,5.81,2.38
198506,2.13,-1.30
198606,3.66,0.23
198706,1.47,-1.96
198806,2.38,-1.05
198906,1.77,-1.66
199006,3.79,0.36
199106,4.20,0.77
199206,4.09,0.66
199306,5.67,2.24
199406,3.07,-0.36
199506,3.29,-0.14
199606,2.04,-1.39
199706,3.16,-0.27
199806,4.64,1.21
199906,4.72,1.29
200006,2.70,-0.73
200106,3.20,-0.23
200206,1.55,-1.88
200306,3.61,0.18
200406,2.64,-0.79
200506,5.04,1.61
200606,1.77,-1.66
200706,3.22,-0.21
200806,5.04,1.61
200906,3.49,0.06
201006,4.92,1.49
201106,4.52,1.09
201206,2.18,-1.25
201306,3.12,-0.31
201406,5.89,2.46
201506,4.05,0.62
201606,1.78,-1.65
201706,2.19,-1.24
201806,4.78,1.35
201906,2.63,-0.80
202006,3.04,-0.39
202106,1.19,-2.24
