Idaho, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.56,0.10
195102,3.30,0.84
195202,2.39,-0.07
195302,2.40,-0.06
195402,2.03,-0.43
195502,2.04,-0.42
195602,2.08,-0.38
195702,2.98,0.52
195802,3.17,0.71
195902,2.34,-0.12
196002,2.83,0.37
196102,3.40,0.94
196202,2.80,0.34
196302,3.04,0.58
196402,0.80,-1.66
196502,1.46,-1.00
196602,1.56,-0.90
196702,1.29,-1.17
196802,3.26,0.80
196902,2.16,-0.30
197002,1.43,-1.03
197102,1.85,-0.61
197202,3.21,0.75
197302,1.15,-1.31
197402,2.18,-0.28
197502,3.47,1.01
197602,2.92,0.46
197702,0.81,-1.65
197802,2.86,0.40
197902,3.37,0.91
198002,2.41,-0.05
198102,2.41,-0.05
198202,3.35,0.89
198302,2.95,0.49
198402,2.11,-0.35
198502,1.93,-0.53
198602,5.74,3.28
198702,1.62,-0.84
198802,1.34,-1.12
198902,1.46,-1.00
199002,1.94,-0.52
199102,1.06,-1.40
199202,1.79,-0.67
199302,1.78,-0.68
199402,2.57,0.11
199502,1.75,-0.71
199602,3.17,0.71
199702,1.59,-0.87
199802,1.98,-0.48
199902,4.49,2.03
200002,3.05,0.59
200102,1.18,-1.28
200202,1.33,-1.13
200302,2.01,-0.45
200402,2.19,-0.27
200502,0.71,-1.75
200602,1.79,-0.67
200702,2.45,-0.01
200802,2.23,-0.23
200902,1.46,-1.00
201002,1.06,-1.40
201102,1.93,-0.53
201202,1.78,-0.68
201302,1.07,-1.39
201402,3.68,1.22
201502,1.86,-0.60
201602,1.65,-0.81
201702,4.91,2.45
201802,2.33,-0.13
201902,4.78,2.32
202002,2.12,-0.34
202102,3.07,0.61
