North Carolina, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,1.91,-1.92
195102,2.10,-1.73
195202,4.37,0.54
195302,5.11,1.28
195402,2.16,-1.67
195502,3.42,-0.41
195602,5.87,2.04
195702,5.06,1.23
195802,3.91,0.08
195902,3.67,-0.16
196002,5.95,2.12
196102,5.56,1.73
196202,3.82,-0.01
196302,3.23,-0.60
196402,5.31,1.48
196502,4.24,0.41
196602,5.19,1.36
196702,4.06,0.23
196802,0.87,-2.96
196902,4.02,0.19
197002,3.66,-0.17
197102,4.98,1.15
197202,4.36,0.53
197302,4.68,0.85
197402,4.24,0.41
197502,4.48,0.65
197602,1.73,-2.10
197702,1.73,-2.10
197802,1.00,-2.83
197902,5.13,1.30
198002,1.71,-2.12
198102,3.47,-0.36
198202,5.79,1.96
198302,6.03,2.20
198402,5.79,1.96
198502,4.82,0.99
198602,2.01,-1.82
198702,4.30,0.47
198802,2.09,-1.74
198902,4.91,1.08
199002,4.43,0.60
199102,1.95,-1.88
199202,2.95,-0.88
199302,2.82,-1.01
199402,3.50,-0.33
199502,4.94,1.11
199602,2.79,-1.04
199702,3.77,-0.06
199802,6.56,2.73
199902,2.56,-1.27
200002,2.01,-1.82
200102,2.76,-1.07
200202,1.64,-2.19
200302,5.19,1.36
200402,3.89,0.06
200502,2.74,-1.09
200602,1.82,-2.01
200702,2.25,-1.58
200802,3.99,0.16
200902,1.69,-2.14
201002,3.77,-0.06
201102,2.56,-1.27
201202,2.22,-1.61
201302,4.09,0.26
201402,3.11,-0.72
201502,3.50,-0.33
201602,5.81,1.98
201702,1.19,-2.64
201802,3.08,-0.75
201902,4.99,1.16
202002,7.01,3.18
202102,6.54,2.71
