Nebraska, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,2.17,-1.52
195106,5.70,2.01
195206,2.37,-1.32
195306,3.24,-0.45
195406,3.80,0.11
195506,4.10,0.41
195606,3.28,-0.41
195706,4.70,1.01
195806,2.94,-0.75
195906,3.42,-0.27
196006,4.02,0.33
196106,2.61,-1.08
196206,5.99,2.30
196306,3.92,0.23
196406,4.53,0.84
196506,5.69,2.00
196606,4.36,0.67
196706,8.20,4.51
196806,3.27,-0.42
196906,3.53,-0.16
197006,3.26,-0.43
197106,3.40,-0.29
197206,3.22,-0.47
197306,1.69,-2.00
197406,2.87,-0.82
197506,5.30,1.61
197606,1.81,-1.88
197706,2.88,-0.81
197806,1.87,-1.82
197906,4.01,0.32
198006,2.44,-1.25
198106,2.39,-1.30
198206,3.58,-0.11
198306,5.47,1.78
198406,4.62,0.93
198506,2.44,-1.25
198606,4.07,0.38
198706,2.98,-0.71
198806,2.25,-1.44
198906,3.36,-0.33
199006,3.27,-0.42
199106,3.56,-0.13
199206,4.08,0.39
199306,5.34,1.65
199406,3.87,0.18
199506,3.10,-0.59
199606,2.93,-0.76
199706,3.35,-0.34
199806,4.78,1.09
199906,5.31,1.62
200006,2.70,-0.99
200106,2.09,-1.60
200206,1.47,-2.22
200306,4.25,0.56
200406,2.85,-0.84
200506,5.39,1.70
200606,3.16,-0.53
200706,2.82,-0.87
200806,4.17,0.48
200906,5.52,1.83
201006,7.40,3.71
201106,3.99,0.30
201206,1.65,-2.04
201306,2.43,-1.26
201406,7.23,3.54
201506,4.73,1.04
201606,2.20,-1.49
201706,1.53,-2.16
201806,5.26,1.57
201906,3.74,0.05
202006,2.53,-1.16
202106,2.22,-1.47
