Kentucky, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,6.41,2.16
195106,5.00,0.75
195206,2.66,-1.59
195306,3.38,-0.87
195406,2.86,-1.39
195506,4.31,0.06
195606,3.62,-0.63
195706,5.31,1.06
195806,4.26,0.01
195906,2.89,-1.36
196006,7.12,2.87
196106,5.50,1.25
196206,4.76,0.51
196306,3.37,-0.88
196406,2.78,-1.47
196506,3.69,-0.56
196606,1.76,-2.49
196706,3.85,-0.40
196806,2.77,-1.48
196906,5.64,1.39
197006,4.56,0.31
197106,4.39,0.14
197206,2.89,-1.36
197306,5.24,0.99
197406,4.97,0.72
197506,3.62,-0.63
197606,6.19,1.94
197706,5.12,0.87
197806,2.89,-1.36
197906,4.93,0.68
198006,2.76,-1.49
198106,4.97,0.72
198206,4.34,0.09
198306,3.32,-0.93
198406,1.98,-2.27
198506,4.44,0.19
198606,2.81,-1.44
198706,3.79,-0.46
198806,0.97,-3.28
198906,6.62,2.37
199006,3.36,-0.89
199106,3.10,-1.15
199206,4.35,0.10
199306,4.95,0.70
199406,3.54,-0.71
199506,4.37,0.12
199606,4.83,0.58
199706,7.11,2.86
199806,8.86,4.61
199906,4.62,0.37
200006,4.41,0.16
200106,3.99,-0.26
200206,3.75,-0.50
200306,6.10,1.85
200406,4.01,-0.24
200506,2.70,-1.55
200606,4.00,-0.25
200706,3.03,-1.22
200806,3.31,-0.94
200906,5.69,1.44
201006,4.25,0.00
201106,5.36,1.11
201206,1.50,-2.75
201306,6.23,1.98
201406,3.98,-0.27
201506,5.47,1.22
201606,3.74,-0.51
201706,4.96,0.71
201806,6.16,1.91
201906,8.10,3.85
202006,5.16,0.91
202106,5.02,0.77
