Indiana, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,5.58,1.50
195106,4.67,0.59
195206,4.83,0.75
195306,2.81,-1.27
195406,3.02,-1.06
195506,3.26,-0.82
195606,3.33,-0.75
195706,7.20,3.12
195806,8.14,4.06
195906,2.41,-1.67
196006,5.97,1.89
196106,4.00,-0.08
196206,3.09,-0.99
196306,2.46,-1.62
196406,4.10,0.02
196506,3.08,-1.00
196606,2.14,-1.94
196706,2.86,-1.22
196806,4.08,0.00
196906,4.73,0.65
197006,3.86,-0.22
197106,3.96,-0.12
197206,3.30,-0.78
197306,6.10,2.02
197406,4.15,0.07
197506,5.15,1.07
197606,5.13,1.05
197706,3.95,-0.13
197806,3.22,-0.86
197906,3.92,-0.16
198006,5.32,1.24
198106,4.46,0.38
198206,4.26,0.18
198306,3.25,-0.83
198406,2.04,-2.04
198506,3.58,-0.50
198606,4.36,0.28
198706,4.54,0.46
198806,0.69,-3.39
198906,3.67,-0.41
199006,4.60,0.52
199106,1.54,-2.54
199206,2.87,-1.21
199306,5.80,1.72
199406,4.18,0.10
199506,3.98,-0.10
199606,5.03,0.95
199706,5.50,1.42
199806,7.74,3.66
199906,4.13,0.05
200006,6.21,2.13
200106,4.09,0.01
200206,3.28,-0.80
200306,3.26,-0.82
200406,4.43,0.35
200506,3.21,-0.87
200606,4.20,0.12
200706,3.28,-0.80
200806,6.58,2.50
200906,4.69,0.61
201006,7.68,3.60
201106,5.23,1.15
201206,1.29,-2.79
201306,6.24,2.16
201406,5.61,1.53
201506,9.07,4.99
201606,4.28,0.20
201706,4.37,0.29
201806,6.55,2.47
201906,6.12,2.04
202006,3.52,-0.56
202106,5.95,1.87
