Massachusetts, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,4.27,0.63
195101,3.21,-0.43
195201,4.51,0.87
195301,6.26,2.62
195401,2.85,-0.79
195501,0.84,-2.80
195601,5.00,1.36
195701,2.31,-1.33
195801,7.16,3.52
195901,3.10,-0.54
196001,3.25,-0.39
196101,2.57,-1.07
196201,3.61,-0.03
196301,3.19,-0.45
196401,4.58,0.94
196501,2.33,-1.31
196601,3.71,0.07
196701,1.80,-1.84
196801,2.78,-0.86
196901,1.85,-1.79
197001,1.02,-2.62
197101,2.20,-1.44
197201,2.18,-1.46
197301,3.71,0.07
197401,3.86,0.22
197501,5.26,1.62
197601,5.51,1.87
197701,3.57,-0.07
197801,8.50,4.86
197901,10.95,7.31
198001,1.16,-2.48
198101,0.91,-2.73
198201,4.39,0.75
198301,4.72,1.08
198401,2.35,-1.29
198501,1.19,-2.45
198601,5.00,1.36
198701,5.51,1.87
198801,2.77,-0.87
198901,1.27,-2.37
199001,4.66,1.02
199101,3.07,-0.57
199201,2.73,-0.91
199301,2.45,-1.19
199401,5.17,1.53
199501,3.75,0.11
199601,6.60,2.96
199701,3.41,-0.23
199801,5.81,2.17
199901,6.40,2.76
200001,3.52,-0.12
200101,2.20,-1.44
200201,2.63,-1.01
200301,2.83,-0.81
200401,1.52,-2.12
200501,5.02,1.38
200601,5.61,1.97
200701,3.35,-0.29
200801,2.57,-1.07
200901,3.80,0.16
201001,3.35,-0.29
201101,3.55,-0.09
201201,3.22,-0.42
201301,1.92,-1.72
201401,3.43,-0.21
201501,4.03,0.39
201601,2.48,-1.16
201701,4.03,0.39
201801,4.50,0.86
201901,5.30,1.66
202001,1.83,-1.81
202101,2.27,-1.37
