Maryland, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.01,-0.84
195106,7.22,3.37
195206,3.04,-0.81
195306,2.35,-1.50
195406,1.75,-2.10
195506,5.42,1.57
195606,3.61,-0.24
195706,3.68,-0.17
195806,4.11,0.26
195906,2.84,-1.01
196006,2.54,-1.31
196106,4.49,0.64
196206,3.78,-0.07
196306,5.30,1.45
196406,2.42,-1.43
196506,2.44,-1.41
196606,1.86,-1.99
196706,2.58,-1.27
196806,4.21,0.36
196906,2.79,-1.06
197006,4.47,0.62
197106,2.22,-1.63
197206,10.78,6.93
197306,3.69,-0.16
197406,4.48,0.63
197506,5.21,1.36
197606,2.60,-1.25
197706,3.65,-0.20
197806,3.19,-0.66
197906,4.18,0.33
198006,3.02,-0.83
198106,4.70,0.85
198206,5.56,1.71
198306,4.37,0.52
198406,2.59,-1.26
198506,2.78,-1.07
198606,1.85,-2.00
198706,3.13,-0.72
198806,0.93,-2.92
198906,6.54,2.69
199006,2.70,-1.15
199106,2.33,-1.52
199206,2.70,-1.15
199306,3.05,-0.80
199406,2.51,-1.34
199506,3.70,-0.15
199606,5.51,1.66
199706,3.02,-0.83
199806,4.99,1.14
199906,2.19,-1.66
200006,4.98,1.13
200106,4.65,0.80
200206,2.79,-1.06
200306,6.89,3.04
200406,4.40,0.55
200506,3.09,-0.76
200606,9.32,5.47
200706,2.92,-0.93
200806,4.60,0.75
200906,5.43,1.58
201006,2.10,-1.75
201106,2.54,-1.31
201206,2.99,-0.86
201306,7.46,3.61
201406,3.64,-0.21
201506,9.39,5.54
201606,4.17,0.32
201706,2.11,-1.74
201806,5.10,1.25
201906,4.23,0.38
202006,3.61,-0.24
202106,3.79,-0.06
