Mississippi, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,4.09,0.00
195106,4.89,0.80
195206,1.13,-2.96
195306,2.55,-1.54
195406,1.78,-2.31
195506,3.11,-0.98
195606,4.47,0.38
195706,7.60,3.51
195806,5.83,1.74
195906,4.62,0.53
196006,2.41,-1.68
196106,6.66,2.57
196206,4.78,0.69
196306,3.94,-0.15
196406,3.17,-0.92
196506,3.47,-0.62
196606,1.81,-2.28
196706,2.78,-1.31
196806,2.45,-1.64
196906,2.14,-1.95
197006,4.48,0.39
197106,3.90,-0.19
197206,3.63,-0.46
197306,3.13,-0.96
197406,6.12,2.03
197506,5.36,1.27
197606,4.08,-0.01
197706,2.21,-1.88
197806,4.61,0.52
197906,2.71,-1.38
198006,3.64,-0.45
198106,3.77,-0.32
198206,4.69,0.60
198306,6.31,2.22
198406,2.67,-1.42
198506,3.28,-0.81
198606,4.25,0.16
198706,5.18,1.09
198806,1.23,-2.86
198906,9.98,5.89
199006,3.82,-0.27
199106,4.10,0.01
199206,6.75,2.66
199306,4.40,0.31
199406,6.22,2.13
199506,2.92,-1.17
199606,4.74,0.65
199706,7.34,3.25
199806,2.38,-1.71
199906,5.05,0.96
200006,4.51,0.42
200106,6.58,2.49
200206,3.23,-0.86
200306,8.01,3.92
200406,9.65,5.56
200506,3.42,-0.67
200606,1.78,-2.31
200706,3.16,-0.93
200806,2.50,-1.59
200906,1.55,-2.54
201006,3.11,-0.98
201106,3.26,-0.83
201206,3.46,-0.63
201306,4.15,0.06
201406,6.96,2.87
201506,4.05,-0.04
201606,3.71,-0.38
201706,9.39,5.30
201806,3.87,-0.22
201906,5.24,1.15
202006,6.35,2.26
202106,9.82,5.73
