Kentucky, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,6.00,1.66
195105,2.58,-1.76
195205,4.03,-0.31
195305,5.46,1.12
195405,3.13,-1.21
195505,4.26,-0.08
195605,3.66,-0.68
195705,5.55,1.21
195805,4.67,0.33
195905,4.53,0.19
196005,3.51,-0.83
196105,6.00,1.66
196205,4.36,0.02
196305,3.86,-0.48
196405,2.27,-2.07
196505,2.21,-2.13
196605,3.78,-0.56
196705,6.75,2.41
196805,6.84,2.50
196905,3.12,-1.22
197005,2.84,-1.50
197105,5.64,1.30
197205,3.86,-0.48
197305,6.62,2.28
197405,5.96,1.62
197505,3.89,-0.45
197605,3.97,-0.37
197705,2.18,-2.16
197805,5.57,1.23
197905,4.85,0.51
198005,3.65,-0.69
198105,6.27,1.93
198205,4.19,-0.15
198305,9.92,5.58
198405,8.43,4.09
198505,4.41,0.07
198605,4.76,0.42
198705,2.90,-1.44
198805,2.78,-1.56
198905,4.61,0.27
199005,6.58,2.24
199105,4.17,-0.17
199205,4.31,-0.03
199305,3.33,-1.01
199405,3.22,-1.12
199505,9.13,4.79
199605,7.12,2.78
199705,5.45,1.11
199805,5.08,0.74
199905,2.89,-1.45
200005,4.66,0.32
200105,4.57,0.23
200205,6.23,1.89
200305,6.80,2.46
200405,8.28,3.94
200505,2.44,-1.90
200605,4.30,-0.04
200705,2.05,-2.29
200805,4.97,0.63
200905,6.61,2.27
201005,8.21,3.87
201105,6.75,2.41
201205,4.25,-0.09
201305,4.44,0.10
201405,3.65,-0.69
201505,2.67,-1.67
201605,6.06,1.72
201705,6.10,1.76
201805,4.88,0.54
201905,4.43,0.09
202005,5.58,1.24
202105,3.57,-0.77
