Michigan, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,2.51,0.47
195103,2.58,0.54
195203,2.23,0.19
195303,2.13,0.09
195403,2.62,0.58
195503,2.16,0.12
195603,1.99,-0.05
195703,1.29,-0.75
195803,0.57,-1.47
195903,2.20,0.16
196003,1.21,-0.83
196103,2.54,0.50
196203,1.02,-1.02
196303,2.23,0.19
196403,2.17,0.13
196503,2.09,0.05
196603,2.84,0.80
196703,1.21,-0.83
196803,1.10,-0.94
196903,1.19,-0.85
197003,1.91,-0.13
197103,2.07,0.03
197203,2.66,0.62
197303,2.69,0.65
197403,2.39,0.35
197503,2.17,0.13
197603,4.64,2.60
197703,3.50,1.46
197803,1.14,-0.90
197903,3.09,1.05
198003,1.45,-0.59
198103,0.86,-1.18
198203,2.41,0.37
198303,2.62,0.58
198403,2.39,0.35
198503,3.12,1.08
198603,2.07,0.03
198703,1.23,-0.81
198803,1.91,-0.13
198903,2.18,0.14
199003,1.95,-0.09
199103,3.16,1.12
199203,2.00,-0.04
199303,1.06,-0.98
199403,1.45,-0.59
199503,1.62,-0.42
199603,1.36,-0.68
199703,2.16,0.12
199803,3.80,1.76
199903,0.82,-1.22
200003,1.62,-0.42
200103,0.71,-1.33
200203,2.59,0.55
200303,1.97,-0.07
200403,3.17,1.13
200503,1.20,-0.84
200603,2.21,0.17
200703,2.51,0.47
200803,1.50,-0.54
200903,2.32,0.28
201003,0.73,-1.31
201103,2.21,0.17
201203,2.59,0.55
201303,1.36,-0.68
201403,1.39,-0.65
201503,0.87,-1.17
201603,3.65,1.61
201703,2.94,0.90
201803,1.13,-0.91
201903,1.81,-0.23
202003,2.83,0.79
202103,1.60,-0.44
