South Carolina, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,4.36,0.78
195105,0.83,-2.75
195205,3.72,0.14
195305,3.76,0.18
195405,3.27,-0.31
195505,4.15,0.57
195605,2.69,-0.89
195705,6.00,2.42
195805,3.34,-0.24
195905,4.61,1.03
196005,2.33,-1.25
196105,3.99,0.41
196205,2.01,-1.57
196305,3.46,-0.12
196405,2.75,-0.83
196505,2.17,-1.41
196605,6.05,2.47
196705,5.49,1.91
196805,3.49,-0.09
196905,4.33,0.75
197005,3.31,-0.27
197105,4.17,0.59
197205,6.16,2.58
197305,3.93,0.35
197405,5.03,1.45
197505,6.56,2.98
197605,7.42,3.84
197705,2.89,-0.69
197805,4.28,0.70
197905,5.72,2.14
198005,4.14,0.56
198105,3.35,-0.23
198205,2.91,-0.67
198305,2.13,-1.45
198405,6.02,2.44
198505,3.09,-0.49
198605,2.94,-0.64
198705,1.98,-1.60
198805,2.50,-1.08
198905,3.64,0.06
199005,3.44,-0.14
199105,5.12,1.54
199205,3.49,-0.09
199305,2.32,-1.26
199405,2.02,-1.56
199505,2.83,-0.75
199605,2.84,-0.74
199705,2.43,-1.15
199805,3.65,0.07
199905,2.38,-1.20
200005,1.21,-2.37
200105,2.61,-0.97
200205,3.49,-0.09
200305,5.72,2.14
200405,2.89,-0.69
200505,3.77,0.19
200605,2.54,-1.04
200705,1.44,-2.14
200805,2.74,-0.84
200905,5.68,2.10
201005,3.60,0.02
201105,2.95,-0.63
201205,5.72,2.14
201305,3.56,-0.02
201405,3.97,0.39
201505,1.63,-1.95
201605,5.58,2.00
201705,5.15,1.57
201805,6.19,2.61
201905,2.15,-1.43
202005,6.64,3.06
202105,2.55,-1.03
