Missouri, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,4.95,2.86
195101,2.21,0.12
195201,1.29,-0.80
195301,1.49,-0.60
195401,1.58,-0.51
195501,1.22,-0.87
195601,0.85,-1.24
195701,2.02,-0.07
195801,1.54,-0.55
195901,1.93,-0.16
196001,1.79,-0.30
196101,0.42,-1.67
196201,2.80,0.71
196301,0.60,-1.49
196401,0.86,-1.23
196501,3.13,1.04
196601,1.83,-0.26
196701,1.78,-0.31
196801,1.49,-0.60
196901,4.09,2.00
197001,0.42,-1.67
197101,1.81,-0.28
197201,0.97,-1.12
197301,3.26,1.17
197401,2.67,0.58
197501,3.23,1.14
197601,0.85,-1.24
197701,1.38,-0.71
197801,1.12,-0.97
197901,2.82,0.73
198001,1.13,-0.96
198101,0.48,-1.61
198201,4.43,2.34
198301,0.64,-1.45
198401,0.59,-1.50
198501,2.10,0.01
198601,0.10,-1.99
198701,1.41,-0.68
198801,1.31,-0.78
198901,1.97,-0.12
199001,2.79,0.70
199101,2.02,-0.07
199201,0.98,-1.11
199301,3.26,1.17
199401,1.54,-0.55
199501,3.13,1.04
199601,2.48,0.39
199701,1.86,-0.23
199801,2.49,0.40
199901,3.28,1.19
200001,1.37,-0.72
200101,1.98,-0.11
200201,2.64,0.55
200301,0.59,-1.50
200401,2.16,0.07
200501,4.94,2.85
200601,2.09,0.00
200701,2.86,0.77
200801,1.52,-0.57
200901,0.89,-1.20
201001,2.12,0.03
201101,1.02,-1.07
201201,1.30,-0.79
201301,3.33,1.24
201401,1.09,-1.00
201501,1.19,-0.90
201601,0.90,-1.19
201701,1.84,-0.25
201801,1.64,-0.45
201901,3.04,0.95
202001,4.41,2.32
202101,3.33,1.24
