Maine, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,4.53,1.02
195108,4.22,0.71
195208,2.66,-0.85
195308,2.98,-0.53
195408,5.65,2.14
195508,4.79,1.28
195608,3.12,-0.39
195708,2.03,-1.48
195808,4.48,0.97
195908,4.73,1.22
196008,1.71,-1.80
196108,2.72,-0.79
196208,4.30,0.79
196308,5.78,2.27
196408,3.45,-0.06
196508,3.97,0.46
196608,2.89,-0.62
196708,3.99,0.48
196808,2.03,-1.48
196908,3.38,-0.13
197008,3.79,0.28
197108,4.50,0.99
197208,2.82,-0.69
197308,4.77,1.26
197408,2.92,-0.59
197508,2.26,-1.25
197608,5.85,2.34
197708,4.60,1.09
197808,2.08,-1.43
197908,5.10,1.59
198008,2.75,-0.76
198108,5.34,1.83
198208,4.20,0.69
198308,3.55,0.04
198408,2.26,-1.25
198508,3.72,0.21
198608,5.22,1.71
198708,1.98,-1.53
198808,5.91,2.40
198908,4.83,1.32
199008,4.87,1.36
199108,8.17,4.66
199208,3.65,0.14
199308,2.50,-1.01
199408,2.63,-0.88
199508,1.77,-1.74
199608,1.66,-1.85
199708,4.52,1.01
199808,2.78,-0.73
199908,3.07,-0.44
200008,2.61,-0.90
200108,1.53,-1.98
200208,0.98,-2.53
200308,3.53,0.02
200408,6.38,2.87
200508,4.44,0.93
200608,3.84,0.33
200708,4.14,0.63
200808,5.41,1.90
200908,3.98,0.47
201008,2.33,-1.18
201108,7.44,3.93
201208,4.29,0.78
201308,4.60,1.09
201408,3.34,-0.17
201508,3.90,0.39
201608,4.15,0.64
201708,2.45,-1.06
201808,3.78,0.27
201908,4.80,1.29
202008,2.81,-0.70
202108,2.56,-0.95
