South Carolina, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,3.59,-1.69
195108,3.32,-1.96
195208,9.23,3.95
195308,4.35,-0.93
195408,2.59,-2.69
195508,4.34,-0.94
195608,3.85,-1.43
195708,4.03,-1.25
195808,4.70,-0.58
195908,4.74,-0.54
196008,3.91,-1.37
196108,7.63,2.35
196208,4.24,-1.04
196308,2.35,-2.93
196408,8.59,3.31
196508,4.28,-1.00
196608,5.37,0.09
196708,7.41,2.13
196808,2.53,-2.75
196908,7.56,2.28
197008,6.36,1.08
197108,7.99,2.71
197208,4.57,-0.71
197308,4.71,-0.57
197408,7.58,2.30
197508,3.34,-1.94
197608,3.41,-1.87
197708,5.85,0.57
197808,4.86,-0.42
197908,3.09,-2.19
198008,2.39,-2.89
198108,5.77,0.49
198208,3.53,-1.75
198308,2.81,-2.47
198408,3.45,-1.83
198508,7.20,1.92
198608,8.93,3.65
198708,4.33,-0.95
198808,6.09,0.81
198908,4.71,-0.57
199008,6.13,0.85
199108,7.89,2.61
199208,8.25,2.97
199308,3.15,-2.13
199408,6.13,0.85
199508,9.69,4.41
199608,5.41,0.13
199708,2.21,-3.07
199808,3.82,-1.46
199908,3.31,-1.97
200008,4.10,-1.18
200108,2.66,-2.62
200208,5.94,0.66
200308,4.61,-0.67
200408,6.99,1.71
200508,4.96,-0.32
200608,5.11,-0.17
200708,2.94,-2.34
200808,7.08,1.80
200908,3.65,-1.63
201008,5.96,0.68
201108,4.27,-1.01
201208,7.45,2.17
201308,6.40,1.12
201408,4.31,-0.97
201508,5.71,0.43
201608,3.84,-1.44
201708,4.55,-0.73
201808,4.27,-1.01
201908,4.83,-0.45
202008,6.95,1.67
202108,5.48,0.20
