Utah, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,1.63,0.41
195101,1.04,-0.18
195201,1.80,0.58
195301,1.02,-0.20
195401,1.30,0.08
195501,1.42,0.20
195601,1.88,0.66
195701,2.12,0.90
195801,0.72,-0.50
195901,0.61,-0.61
196001,0.91,-0.31
196101,0.27,-0.95
196201,1.12,-0.10
196301,0.84,-0.38
196401,0.65,-0.57
196501,0.97,-0.25
196601,0.41,-0.81
196701,1.33,0.11
196801,0.53,-0.69
196901,2.61,1.39
197001,0.90,-0.32
197101,0.74,-0.48
197201,0.41,-0.81
197301,1.13,-0.09
197401,1.83,0.61
197501,0.98,-0.24
197601,0.34,-0.88
197701,0.61,-0.61
197801,2.20,0.98
197901,1.95,0.73
198001,3.20,1.98
198101,0.54,-0.68
198201,1.57,0.35
198301,1.05,-0.17
198401,0.48,-0.74
198501,0.77,-0.45
198601,0.53,-0.69
198701,1.04,-0.18
198801,1.30,0.08
198901,0.79,-0.43
199001,0.98,-0.24
199101,0.80,-0.42
199201,0.63,-0.59
199301,3.02,1.80
199401,0.48,-0.74
199501,1.73,0.51
199601,1.52,0.30
199701,2.47,1.25
199801,1.33,0.11
199901,1.05,-0.17
200001,1.42,0.20
200101,1.02,-0.20
200201,0.43,-0.79
200301,0.40,-0.82
200401,0.60,-0.62
200501,2.76,1.54
200601,1.35,0.13
200701,0.53,-0.69
200801,1.67,0.45
200901,1.12,-0.10
201001,1.58,0.36
201101,0.39,-0.83
201201,0.97,-0.25
201301,1.01,-0.21
201401,0.61,-0.61
201501,0.92,-0.30
201601,1.42,0.20
201701,2.76,1.54
201801,0.86,-0.36
201901,1.51,0.29
202001,0.77,-0.45
202101,0.74,-0.48
