Indiana, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,3.41,-0.10
195103,3.56,0.05
195203,4.56,1.05
195303,4.40,0.89
195403,2.59,-0.92
195503,3.95,0.44
195603,2.49,-1.02
195703,1.71,-1.80
195803,1.55,-1.96
195903,2.70,-0.81
196003,1.41,-2.10
196103,5.10,1.59
196203,2.94,-0.57
196303,6.65,3.14
196403,7.26,3.75
196503,2.60,-0.91
196603,1.71,-1.80
196703,3.44,-0.07
196803,2.74,-0.77
196903,1.77,-1.74
197003,3.14,-0.37
197103,1.67,-1.84
197203,3.03,-0.48
197303,5.81,2.30
197403,4.07,0.56
197503,4.18,0.67
197603,3.73,0.22
197703,4.93,1.42
197803,3.13,-0.38
197903,3.27,-0.24
198003,4.23,0.72
198103,1.26,-2.25
198203,4.49,0.98
198303,2.57,-0.94
198403,3.64,0.13
198503,5.32,1.81
198603,2.70,-0.81
198703,2.25,-1.26
198803,3.07,-0.44
198903,4.35,0.84
199003,2.85,-0.66
199103,4.46,0.95
199203,3.15,-0.36
199303,2.80,-0.71
199403,1.37,-2.14
199503,2.57,-0.94
199603,2.58,-0.93
199703,4.81,1.30
199803,4.24,0.73
199903,2.00,-1.51
200003,2.20,-1.31
200103,0.97,-2.54
200203,4.38,0.87
200303,2.16,-1.35
200403,3.46,-0.05
200503,2.12,-1.39
200603,5.14,1.63
200703,3.54,0.03
200803,6.48,2.97
200903,3.23,-0.28
201003,3.10,-0.41
201103,3.46,-0.05
201203,2.73,-0.78
201303,2.30,-1.21
201403,1.85,-1.66
201503,3.54,0.03
201603,4.46,0.95
201703,4.04,0.53
201803,3.92,0.41
201903,4.18,0.67
202003,4.62,1.11
202103,3.81,0.30
