Oklahoma, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.10,-0.92
195106,7.10,3.08
195206,1.21,-2.81
195306,2.16,-1.86
195406,1.63,-2.39
195506,2.94,-1.08
195606,2.08,-1.94
195706,7.04,3.02
195806,5.43,1.41
195906,3.42,-0.60
196006,2.88,-1.14
196106,4.39,0.37
196206,7.00,2.98
196306,2.93,-1.09
196406,2.93,-1.09
196506,4.35,0.33
196606,1.98,-2.04
196706,4.30,0.28
196806,3.93,-0.09
196906,4.28,0.26
197006,3.01,-1.01
197106,3.90,-0.12
197206,2.49,-1.53
197306,5.06,1.04
197406,3.83,-0.19
197506,4.73,0.71
197606,2.34,-1.68
197706,2.48,-1.54
197806,3.72,-0.30
197906,4.70,0.68
198006,2.95,-1.07
198106,4.17,0.15
198206,4.97,0.95
198306,4.08,0.06
198406,3.03,-0.99
198506,5.70,1.68
198606,4.61,0.59
198706,4.08,0.06
198806,2.10,-1.92
198906,7.78,3.76
199006,1.89,-2.13
199106,4.28,0.26
199206,7.17,3.15
199306,3.66,-0.36
199406,1.96,-2.06
199506,6.39,2.37
199606,3.79,-0.23
199706,4.33,0.31
199806,1.80,-2.22
199906,6.32,2.30
200006,7.11,3.09
200106,2.34,-1.68
200206,3.69,-0.33
200306,5.17,1.15
200406,6.52,2.50
200506,4.30,0.28
200606,2.65,-1.37
200706,9.51,5.49
200806,5.59,1.57
200906,2.49,-1.53
201006,4.12,0.10
201106,1.17,-2.85
201206,2.45,-1.57
201306,3.87,-0.15
201406,5.71,1.69
201506,4.81,0.79
201606,3.26,-0.76
201706,2.57,-1.45
201806,3.70,-0.32
201906,5.09,1.07
202006,2.09,-1.93
202106,5.06,1.04
