Louisiana, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,7.21,2.65
195106,4.21,-0.35
195206,1.41,-3.15
195306,3.60,-0.96
195406,1.94,-2.62
195506,3.69,-0.87
195606,4.73,0.17
195706,9.30,4.74
195806,5.58,1.02
195906,5.51,0.95
196006,2.98,-1.58
196106,8.00,3.44
196206,6.42,1.86
196306,5.35,0.79
196406,2.48,-2.08
196506,2.95,-1.61
196606,2.38,-2.18
196706,2.85,-1.71
196806,4.24,-0.32
196906,1.54,-3.02
197006,3.95,-0.61
197106,3.32,-1.24
197206,2.77,-1.79
197306,4.17,-0.39
197406,3.86,-0.70
197506,7.78,3.22
197606,5.19,0.63
197706,2.75,-1.81
197806,4.91,0.35
197906,2.00,-2.56
198006,2.66,-1.90
198106,7.24,2.68
198206,5.39,0.83
198306,6.44,1.88
198406,5.31,0.75
198506,3.26,-1.30
198606,6.71,2.15
198706,7.08,2.52
198806,2.87,-1.69
198906,13.39,8.83
199006,3.82,-0.74
199106,5.55,0.99
199206,7.61,3.05
199306,7.10,2.54
199406,5.21,0.65
199506,2.51,-2.05
199606,6.21,1.65
199706,5.45,0.89
199806,2.60,-1.96
199906,6.83,2.27
200006,5.07,0.51
200106,12.50,7.94
200206,4.83,0.27
200306,8.43,3.87
200406,11.61,7.05
200506,2.97,-1.59
200606,2.44,-2.12
200706,5.05,0.49
200806,3.61,-0.95
200906,1.47,-3.09
201006,4.31,-0.25
201106,3.30,-1.26
201206,4.25,-0.31
201306,4.58,0.02
201406,6.23,1.67
201506,5.42,0.86
201606,6.03,1.47
201706,8.99,4.43
201806,3.61,-0.95
201906,6.38,1.82
202006,5.33,0.77
202106,6.73,2.17
