Kentucky, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,12.61,8.41
195101,7.43,3.23
195201,5.51,1.31
195301,4.73,0.53
195401,5.50,1.30
195501,1.76,-2.44
195601,3.91,-0.29
195701,6.42,2.22
195801,2.55,-1.65
195901,4.82,0.62
196001,2.84,-1.36
196101,2.51,-1.69
196201,4.76,0.56
196301,1.39,-2.81
196401,3.22,-0.98
196501,3.73,-0.47
196601,5.08,0.88
196701,1.69,-2.51
196801,2.06,-2.14
196901,4.56,0.36
197001,1.25,-2.95
197101,3.55,-0.65
197201,5.65,1.45
197301,2.43,-1.77
197401,6.85,2.65
197501,4.32,0.12
197601,4.17,-0.03
197701,2.10,-2.10
197801,5.73,1.53
197901,5.73,1.53
198001,2.47,-1.73
198101,0.87,-3.33
198201,5.71,1.51
198301,1.78,-2.42
198401,1.44,-2.76
198501,2.83,-1.37
198601,1.04,-3.16
198701,1.84,-2.36
198801,3.32,-0.88
198901,4.56,0.36
199001,4.05,-0.15
199101,3.40,-0.80
199201,2.43,-1.77
199301,3.18,-1.02
199401,4.80,0.60
199501,4.72,0.52
199601,4.78,0.58
199701,3.36,-0.84
199801,3.75,-0.45
199901,6.70,2.50
200001,3.79,-0.41
200101,2.09,-2.11
200201,3.87,-0.33
200301,1.98,-2.22
200401,3.88,-0.32
200501,4.90,0.70
200601,5.41,1.21
200701,4.18,-0.02
200801,3.23,-0.97
200901,4.59,0.39
201001,3.52,-0.68
201101,2.16,-2.04
201201,3.80,-0.40
201301,5.60,1.40
201401,2.34,-1.86
201501,1.97,-2.23
201601,1.88,-2.32
201701,4.25,0.05
201801,2.47,-1.73
201901,4.73,0.53
202001,4.47,0.27
202101,4.12,-0.08
