California, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.71,-1.14
195102,2.54,-1.31
195202,2.58,-1.27
195302,0.55,-3.30
195402,3.02,-0.83
195502,1.50,-2.35
195602,3.17,-0.68
195702,3.64,-0.21
195802,8.22,4.37
195902,5.05,1.20
196002,5.14,1.29
196102,2.17,-1.68
196202,7.92,4.07
196302,3.89,0.04
196402,0.31,-3.54
196502,0.78,-3.07
196602,1.89,-1.96
196702,0.40,-3.45
196802,2.72,-1.13
196902,7.33,3.48
197002,2.16,-1.69
197102,0.72,-3.13
197202,1.98,-1.87
197302,5.35,1.50
197402,1.66,-2.19
197502,5.41,1.56
197602,3.89,0.04
197702,1.16,-2.69
197802,5.77,1.92
197902,4.86,1.01
198002,7.51,3.66
198102,2.08,-1.77
198202,2.95,-0.90
198302,6.80,2.95
198402,2.20,-1.65
198502,1.85,-2.00
198602,9.33,5.48
198702,2.79,-1.06
198802,0.80,-3.05
198902,1.57,-2.28
199002,2.36,-1.49
199102,2.24,-1.61
199202,5.98,2.13
199302,5.98,2.13
199402,3.96,0.11
199502,1.27,-2.58
199602,5.99,2.14
199702,0.71,-3.14
199802,11.50,7.65
199902,4.98,1.13
200002,6.93,3.08
200102,4.42,0.57
200202,1.45,-2.40
200302,2.66,-1.19
200402,5.88,2.03
200502,4.03,0.18
200602,2.69,-1.16
200702,4.24,0.39
200802,2.76,-1.09
200902,4.64,0.79
201002,3.65,-0.20
201102,3.34,-0.51
201202,1.22,-2.63
201302,0.58,-3.27
201402,4.02,0.17
201502,2.86,-0.99
201602,1.21,-2.64
201702,7.94,4.09
201802,0.57,-3.28
201902,8.57,4.72
202002,0.21,-3.64
202102,1.39,-2.46
