South Dakota, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,65.4,-0.3
195106,59.3,-6.4
195206,69.4,3.7
195306,67.2,1.5
195406,64.6,-1.1
195506,63.3,-2.4
195606,72.4,6.7
195706,63.4,-2.3
195806,61.9,-3.8
195906,70.2,4.5
196006,64.0,-1.7
196106,68.7,3.0
196206,64.5,-1.2
196306,69.0,3.3
196406,66.0,0.3
196506,65.0,-0.7
196606,66.7,1.0
196706,62.9,-2.8
196806,65.6,-0.1
196906,60.5,-5.2
197006,68.3,2.6
197106,68.8,3.1
197206,66.2,0.5
197306,66.8,1.1
197406,66.1,0.4
197506,65.0,-0.7
197606,68.3,2.6
197706,69.2,3.5
197806,66.0,0.3
197906,65.8,0.1
198006,68.4,2.7
198106,66.0,0.3
198206,61.6,-4.1
198306,64.4,-1.3
198406,65.6,-0.1
198506,62.6,-3.1
198606,68.7,3.0
198706,69.4,3.7
198806,75.3,9.6
198906,64.9,-0.8
199006,67.5,1.8
199106,69.3,3.6
199206,63.7,-2.0
199306,61.6,-4.1
199406,67.5,1.8
199506,65.6,-0.1
199606,67.4,1.7
199706,68.0,2.3
199806,61.7,-4.0
199906,65.1,-0.6
200006,64.4,-1.3
200106,66.0,0.3
200206,70.4,4.7
200306,63.9,-1.8
200406,62.1,-3.6
200506,67.9,2.2
200606,69.1,3.4
200706,68.2,2.5
200806,63.8,-1.9
200906,63.2,-2.5
201006,65.9,0.2
201106,64.7,-1.0
201206,70.4,4.7
201306,65.3,-0.4
201406,64.2,-1.5
201506,67.6,1.9
201606,70.7,5.0
201706,68.1,2.4
201806,69.3,3.6
201906,66.3,0.6
202006,70.3,4.6
202106,72.3,6.6
