Mississippi, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,78.0,-0.3
195106,78.8,0.5
195206,82.4,4.1
195306,83.0,4.7
195406,80.2,1.9
195506,74.7,-3.6
195606,76.7,-1.6
195706,78.7,0.4
195806,78.2,-0.1
195906,77.1,-1.2
196006,78.6,0.3
196106,74.8,-3.5
196206,77.5,-0.8
196306,79.0,0.7
196406,78.9,0.6
196506,77.3,-1.0
196606,75.9,-2.4
196706,77.9,-0.4
196806,78.4,0.1
196906,78.5,0.2
197006,76.9,-1.4
197106,79.1,0.8
197206,77.1,-1.2
197306,78.6,0.3
197406,74.3,-4.0
197506,77.1,-1.2
197606,75.2,-3.1
197706,80.5,2.2
197806,78.6,0.3
197906,76.5,-1.8
198006,78.7,0.4
198106,80.3,2.0
198206,77.4,-0.9
198306,75.3,-3.0
198406,77.8,-0.5
198506,78.5,0.2
198606,79.5,1.2
198706,77.7,-0.6
198806,77.7,-0.6
198906,76.6,-1.7
199006,79.0,0.7
199106,78.4,0.1
199206,76.1,-2.2
199306,78.3,0.0
199406,79.0,0.7
199506,76.0,-2.3
199606,77.6,-0.7
199706,76.0,-2.3
199806,81.6,3.3
199906,78.4,0.1
200006,78.1,-0.2
200106,76.6,-1.7
200206,77.8,-0.5
200306,76.6,-1.7
200406,77.4,-0.9
200506,77.7,-0.6
200606,78.6,0.3
200706,79.2,0.9
200806,79.2,0.9
200906,80.2,1.9
201006,82.2,3.9
201106,82.2,3.9
201206,78.2,-0.1
201306,78.9,0.6
201406,78.6,0.3
201506,79.2,0.9
201606,80.2,1.9
201706,76.7,-1.6
201806,80.6,2.3
201906,78.3,0.0
202006,78.1,-0.2
202106,78.2,-0.1
