Minnesota, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,6.7,-6.2
195112,9.0,-3.9
195212,18.8,5.9
195312,14.7,1.8
195412,18.6,5.7
195512,5.8,-7.1
195612,16.2,3.3
195712,18.9,6.0
195812,7.4,-5.5
195912,23.2,10.3
196012,11.4,-1.5
196112,10.8,-2.1
196212,15.0,2.1
196312,6.3,-6.6
196412,7.0,-5.9
196512,21.3,8.4
196612,12.3,-0.6
196712,15.7,2.8
196812,11.1,-1.8
196912,16.0,3.1
197012,10.5,-2.4
197112,12.5,-0.4
197212,6.4,-6.5
197312,11.8,-1.1
197412,19.8,6.9
197512,13.4,0.5
197612,5.5,-7.4
197712,9.2,-3.7
197812,7.6,-5.3
197912,20.8,7.9
198012,12.9,0.0
198112,12.6,-0.3
198212,20.3,7.4
198312,-0.8,-13.7
198412,12.1,-0.8
198512,3.0,-9.9
198612,19.4,6.5
198712,20.5,7.6
198812,14.5,1.6
198912,4.8,-8.1
199012,11.3,-1.6
199112,16.7,3.8
199212,13.5,0.6
199312,15.8,2.9
199412,20.4,7.5
199512,12.3,-0.6
199612,8.8,-4.1
199712,23.9,11.0
199812,19.4,6.5
199912,21.4,8.5
200012,2.5,-10.4
200112,22.3,9.4
200212,21.2,8.3
200312,20.6,7.7
200412,16.8,3.9
200512,16.6,3.7
200612,23.8,10.9
200712,11.6,-1.3
200812,6.9,-6.0
200912,12.0,-0.9
201012,11.5,-1.4
201112,22.7,9.8
201212,16.8,3.9
201312,5.0,-7.9
201412,20.4,7.5
201512,24.8,11.9
201612,15.3,2.4
201712,13.4,0.5
201812,20.2,7.3
201912,16.6,3.7
202012,21.0,8.1
202112,18.2,5.3
