Massachusetts, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,32.1,8.0
195101,28.6,4.5
195201,28.2,4.1
195301,30.0,5.9
195401,22.0,-2.1
195501,23.9,-0.2
195601,26.3,2.2
195701,18.2,-5.9
195801,25.9,1.8
195901,23.6,-0.5
196001,25.2,1.1
196101,18.1,-6.0
196201,24.0,-0.1
196301,23.0,-1.1
196401,26.0,1.9
196501,21.3,-2.8
196601,23.9,-0.2
196701,29.4,5.3
196801,19.5,-4.6
196901,23.8,-0.3
197001,15.9,-8.2
197101,18.2,-5.9
197201,26.4,2.3
197301,27.3,3.2
197401,26.7,2.6
197501,28.5,4.4
197601,19.6,-4.5
197701,16.2,-7.9
197801,22.8,-1.3
197901,26.0,1.9
198001,26.1,2.0
198101,16.0,-8.1
198201,16.5,-7.6
198301,26.1,2.0
198401,21.6,-2.5
198501,19.8,-4.3
198601,26.4,2.3
198701,23.6,-0.5
198801,21.7,-2.4
198901,29.0,4.9
199001,32.6,8.5
199101,24.9,0.8
199201,26.4,2.3
199301,27.7,3.6
199401,17.1,-7.0
199501,31.6,7.5
199601,24.6,0.5
199701,25.4,1.3
199801,31.1,7.0
199901,26.0,1.9
200001,23.5,-0.6
200101,24.6,0.5
200201,32.4,8.3
200301,19.0,-5.1
200401,17.3,-6.8
200501,23.0,-1.1
200601,32.9,8.8
200701,29.9,5.8
200801,28.2,4.1
200901,19.8,-4.3
201001,25.9,1.8
201101,22.4,-1.7
201201,30.4,6.3
201301,27.5,3.4
201401,23.0,-1.1
201501,21.8,-2.3
201601,28.5,4.4
201701,31.5,7.4
201801,24.5,0.4
201901,25.9,1.8
202001,32.0,7.9
202101,28.8,4.7
