Washington, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,12.7,-15.7
195101,28.6,0.2
195201,24.4,-4.0
195301,37.2,8.8
195401,26.9,-1.5
195501,29.4,1.0
195601,29.0,0.6
195701,18.4,-10.0
195801,33.9,5.5
195901,30.2,1.8
196001,25.2,-3.2
196101,32.7,4.3
196201,27.6,-0.8
196301,24.8,-3.6
196401,32.1,3.7
196501,30.6,2.2
196601,30.3,1.9
196701,35.0,6.6
196801,30.8,2.4
196901,19.7,-8.7
197001,29.1,0.7
197101,31.0,2.6
197201,26.6,-1.8
197301,28.1,-0.3
197401,27.1,-1.3
197501,29.0,0.6
197601,32.2,3.8
197701,26.1,-2.3
197801,31.5,3.1
197901,18.8,-9.6
198001,23.8,-4.6
198101,36.2,7.8
198201,28.4,0.0
198301,35.6,7.2
198401,31.9,3.5
198501,26.3,-2.1
198601,33.2,4.8
198701,29.8,1.4
198801,29.1,0.7
198901,31.9,3.5
199001,34.5,6.1
199101,28.5,0.1
199201,34.6,6.2
199301,24.4,-4.0
199401,36.7,8.3
199501,32.6,4.2
199601,29.0,0.6
199701,30.4,2.0
199801,32.0,3.6
199901,34.3,5.9
200001,30.4,2.0
200101,31.8,3.4
200201,32.9,4.5
200301,36.1,7.7
200401,29.8,1.4
200501,31.5,3.1
200601,35.9,7.5
200701,28.6,0.2
200801,27.4,-1.0
200901,30.1,1.7
201001,36.3,7.9
201101,32.1,3.7
201201,30.7,2.3
201301,29.1,0.7
201401,34.1,5.7
201501,35.1,6.7
201601,33.0,4.6
201701,24.8,-3.6
201801,35.4,7.0
201901,34.2,5.8
202001,34.2,5.8
202101,34.6,6.2
