Georgia, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,58.0,11.9
195101,47.1,1.0
195201,52.7,6.6
195301,49.3,3.2
195401,48.4,2.3
195501,45.0,-1.1
195601,43.3,-2.8
195701,49.6,3.5
195801,40.6,-5.5
195901,44.6,-1.5
196001,46.2,0.1
196101,41.4,-4.7
196201,44.7,-1.4
196301,41.7,-4.4
196401,43.8,-2.3
196501,46.9,0.8
196601,41.4,-4.7
196701,47.5,1.4
196801,42.6,-3.5
196901,44.1,-2.0
197001,38.7,-7.4
197101,46.0,-0.1
197201,51.6,5.5
197301,45.2,-0.9
197401,58.1,12.0
197501,50.2,4.1
197601,41.9,-4.2
197701,35.0,-11.1
197801,38.2,-7.9
197901,41.0,-5.1
198001,47.0,0.9
198101,40.2,-5.9
198201,43.3,-2.8
198301,42.3,-3.8
198401,42.9,-3.2
198501,40.1,-6.0
198601,44.5,-1.6
198701,44.4,-1.7
198801,41.2,-4.9
198901,51.6,5.5
199001,51.4,5.3
199101,47.2,1.1
199201,46.2,0.1
199301,50.3,4.2
199401,42.3,-3.8
199501,46.4,0.3
199601,44.6,-1.5
199701,48.0,1.9
199801,49.5,3.4
199901,49.9,3.8
200001,46.2,0.1
200101,43.3,-2.8
200201,48.1,2.0
200301,42.3,-3.8
200401,45.0,-1.1
200501,49.5,3.4
200601,51.8,5.7
200701,49.2,3.1
200801,45.0,-1.1
200901,46.3,0.2
201001,41.8,-4.3
201101,41.8,-4.3
201201,50.0,3.9
201301,52.5,6.4
201401,40.0,-6.1
201501,44.9,-1.2
201601,44.4,-1.7
201701,53.2,7.1
201801,42.5,-3.6
201901,48.2,2.1
202001,51.4,5.3
202101,47.6,1.5
