Colorado, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,31.1,3.7
195102,28.8,1.4
195202,25.8,-1.6
195302,26.9,-0.5
195402,36.4,9.0
195502,20.6,-6.8
195602,22.2,-5.2
195702,32.9,5.5
195802,31.3,3.9
195902,26.7,-0.7
196002,19.3,-8.1
196102,29.8,2.4
196202,29.9,2.5
196302,32.1,4.7
196402,21.3,-6.1
196502,24.8,-2.6
196602,22.1,-5.3
196702,28.8,1.4
196802,28.8,1.4
196902,27.9,0.5
197002,32.4,5.0
197102,26.7,-0.7
197202,31.0,3.6
197302,25.7,-1.7
197402,25.2,-2.2
197502,25.1,-2.3
197602,32.9,5.5
197702,30.7,3.3
197802,25.2,-2.2
197902,25.4,-2.0
198002,29.3,1.9
198102,30.5,3.1
198202,25.7,-1.7
198302,30.5,3.1
198402,26.1,-1.3
198502,22.9,-4.5
198602,31.5,4.1
198702,30.4,3.0
198802,27.5,0.1
198902,22.2,-5.2
199002,27.7,0.3
199102,32.5,5.1
199202,31.9,4.5
199302,25.3,-2.1
199402,26.2,-1.2
199502,34.4,7.0
199602,30.8,3.4
199702,27.2,-0.2
199802,29.5,2.1
199902,33.3,5.9
200002,34.3,6.9
200102,28.2,0.8
200202,27.1,-0.3
200302,26.3,-1.1
200402,26.3,-1.1
200502,31.3,3.9
200602,28.0,0.6
200702,27.7,0.3
200802,27.6,0.2
200902,32.2,4.8
201002,24.6,-2.8
201102,24.2,-3.2
201202,27.4,0.0
201302,25.7,-1.7
201402,27.6,0.2
201502,32.1,4.7
201602,32.4,5.0
201702,35.4,8.0
201802,28.6,1.2
201902,24.9,-2.5
202002,26.4,-1.0
202102,24.7,-2.7
