Wyoming, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,55.8,-1.8
195106,51.5,-6.1
195206,60.1,2.5
195306,59.0,1.4
195406,57.2,-0.4
195506,55.4,-2.2
195606,62.1,4.5
195706,56.4,-1.2
195806,58.0,0.4
195906,61.5,3.9
196006,59.4,1.8
196106,61.8,4.2
196206,57.0,-0.6
196306,58.0,0.4
196406,55.5,-2.1
196506,55.9,-1.7
196606,57.2,-0.4
196706,54.2,-3.4
196806,56.8,-0.8
196906,53.3,-4.3
197006,58.1,0.5
197106,58.7,1.1
197206,59.7,2.1
197306,58.1,0.5
197406,60.6,3.0
197506,54.1,-3.5
197606,56.3,-1.3
197706,63.0,5.4
197806,57.6,0.0
197906,57.8,0.2
198006,59.3,1.7
198106,58.7,1.1
198206,55.1,-2.5
198306,56.1,-1.5
198406,56.6,-1.0
198506,58.2,0.6
198606,62.3,4.7
198706,60.1,2.5
198806,66.4,8.8
198906,57.0,-0.6
199006,59.5,1.9
199106,59.2,1.6
199206,58.5,0.9
199306,54.3,-3.3
199406,61.1,3.5
199506,55.4,-2.2
199606,60.6,3.0
199706,60.0,2.4
199806,52.4,-5.2
199906,56.7,-0.9
200006,58.3,0.7
200106,59.9,2.3
200206,61.3,3.7
200306,56.1,-1.5
200406,56.6,-1.0
200506,57.2,-0.4
200606,62.6,5.0
200706,61.0,3.4
200806,56.4,-1.2
200906,55.4,-2.2
201006,57.4,-0.2
201106,56.4,-1.2
201206,62.8,5.2
201306,60.7,3.1
201406,56.4,-1.2
201506,63.0,5.4
201606,63.8,6.2
201706,60.0,2.4
201806,60.4,2.8
201906,57.0,-0.6
202006,59.7,2.1
202106,64.8,7.2
