Georgia, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,78.5,1.1
195106,78.3,0.9
195206,82.1,4.7
195306,78.7,1.3
195406,78.7,1.3
195506,73.7,-3.7
195606,76.6,-0.8
195706,77.4,0.0
195806,77.6,0.2
195906,77.0,-0.4
196006,76.7,-0.7
196106,74.6,-2.8
196206,76.7,-0.7
196306,76.2,-1.2
196406,78.8,1.4
196506,74.4,-3.0
196606,73.6,-3.8
196706,74.8,-2.6
196806,76.7,-0.7
196906,78.3,0.9
197006,75.6,-1.8
197106,77.7,0.3
197206,73.6,-3.8
197306,76.8,-0.6
197406,74.1,-3.3
197506,76.3,-1.1
197606,74.4,-3.0
197706,78.9,1.5
197806,78.0,0.6
197906,74.8,-2.6
198006,77.2,-0.2
198106,80.5,3.1
198206,77.2,-0.2
198306,74.7,-2.7
198406,77.2,-0.2
198506,77.8,0.4
198606,79.7,2.3
198706,77.4,0.0
198806,76.4,-1.0
198906,77.0,-0.4
199006,78.2,0.8
199106,76.4,-1.0
199206,75.2,-2.2
199306,78.1,0.7
199406,77.6,0.2
199506,75.4,-2.0
199606,76.7,-0.7
199706,73.5,-3.9
199806,80.9,3.5
199906,76.3,-1.1
200006,78.0,0.6
200106,76.4,-1.0
200206,77.4,0.0
200306,76.1,-1.3
200406,78.1,0.7
200506,76.6,-0.8
200606,77.4,0.0
200706,77.7,0.3
200806,79.4,2.0
200906,79.8,2.4
201006,81.0,3.6
201106,81.1,3.7
201206,75.6,-1.8
201306,77.8,0.4
201406,78.3,0.9
201506,79.3,1.9
201606,79.7,2.3
201706,76.6,-0.8
201806,79.3,1.9
201906,78.1,0.7
202006,76.9,-0.5
202106,77.0,-0.4
