Oklahoma, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,70.0,-3.1
195109,72.3,-0.8
195209,73.8,0.7
195309,75.1,2.0
195409,78.6,5.5
195509,75.4,2.3
195609,76.7,3.6
195709,70.0,-3.1
195809,73.8,0.7
195909,73.1,0.0
196009,74.4,1.3
196109,70.2,-2.9
196209,71.4,-1.7
196309,74.8,1.7
196409,72.2,-0.9
196509,72.8,-0.3
196609,69.5,-3.6
196709,69.0,-4.1
196809,70.3,-2.8
196909,73.0,-0.1
197009,74.0,0.9
197109,72.3,-0.8
197209,75.0,1.9
197309,71.2,-1.9
197409,64.7,-8.4
197509,68.6,-4.5
197609,71.0,-2.1
197709,76.0,2.9
197809,76.8,3.7
197909,72.0,-1.1
198009,76.2,3.1
198109,73.0,-0.1
198209,73.2,0.1
198309,74.6,1.5
198409,71.1,-2.0
198509,73.2,0.1
198609,73.9,0.8
198709,70.9,-2.2
198809,72.3,-0.8
198909,68.1,-5.0
199009,75.5,2.4
199109,70.2,-2.9
199209,71.4,-1.7
199309,69.6,-3.5
199409,70.9,-2.2
199509,70.6,-2.5
199609,69.1,-4.0
199709,74.0,0.9
199809,79.6,6.5
199909,70.3,-2.8
200009,75.3,2.2
200109,70.9,-2.2
200209,74.0,0.9
200309,69.0,-4.1
200409,73.6,0.5
200509,76.4,3.3
200609,69.3,-3.8
200709,74.1,1.0
200809,70.1,-3.0
200909,70.1,-3.0
201009,75.0,1.9
201109,71.1,-2.0
201209,74.4,1.3
201309,75.8,2.7
201409,73.3,0.2
201509,76.6,3.5
201609,75.3,2.2
201709,73.3,0.2
201809,73.9,0.8
201909,79.7,6.6
202009,70.3,-2.8
202109,76.7,3.6
