North Carolina, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,36.5,-5.0
195112,43.6,2.1
195212,40.5,-1.0
195312,42.1,0.6
195412,38.8,-2.7
195512,37.4,-4.1
195612,50.3,8.8
195712,43.4,1.9
195812,36.8,-4.7
195912,42.3,0.8
196012,35.6,-5.9
196112,41.2,-0.3
196212,37.4,-4.1
196312,33.8,-7.7
196412,44.0,2.5
196512,42.2,0.7
196612,40.3,-1.2
196712,45.0,3.5
196812,38.1,-3.4
196912,38.3,-3.2
197012,43.6,2.1
197112,50.1,8.6
197212,46.1,4.6
197312,42.3,0.8
197412,42.3,0.8
197512,41.3,-0.2
197612,38.1,-3.4
197712,40.3,-1.2
197812,43.1,1.6
197912,42.3,0.8
198012,40.8,-0.7
198112,38.1,-3.4
198212,47.2,5.7
198312,39.4,-2.1
198412,49.4,7.9
198512,39.1,-2.4
198612,42.4,0.9
198712,43.7,2.2
198812,40.7,-0.8
198912,33.4,-8.1
199012,47.3,5.8
199112,45.6,4.1
199212,41.9,0.4
199312,39.8,-1.7
199412,46.6,5.1
199512,38.3,-3.2
199612,44.4,2.9
199712,41.6,0.1
199812,47.0,5.5
199912,43.4,1.9
200012,35.1,-6.4
200112,48.0,6.5
200212,40.5,-1.0
200312,40.3,-1.2
200412,41.9,0.4
200512,40.0,-1.5
200612,47.1,5.6
200712,47.5,6.0
200812,46.1,4.6
200912,40.7,-0.8
201012,33.6,-7.9
201112,46.9,5.4
201212,47.6,6.1
201312,45.4,3.9
201412,45.1,3.6
201512,54.7,13.2
201612,44.0,2.5
201712,42.4,0.9
201812,45.0,3.5
201912,46.6,5.1
202012,42.2,0.7
202112,50.7,9.2
