Wyoming, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,26.1,3.8
195102,25.4,3.1
195202,21.2,-1.1
195302,23.0,0.7
195402,32.0,9.7
195502,17.1,-5.2
195602,16.8,-5.5
195702,27.3,5.0
195802,27.1,4.8
195902,19.9,-2.4
196002,16.3,-6.0
196102,27.6,5.3
196202,22.7,0.4
196302,29.8,7.5
196402,18.1,-4.2
196502,21.1,-1.2
196602,19.3,-3.0
196702,24.0,1.7
196802,25.5,3.2
196902,22.5,0.2
197002,28.4,6.1
197102,22.2,-0.1
197202,24.7,2.4
197302,20.2,-2.1
197402,24.4,2.1
197502,19.2,-3.1
197602,25.8,3.5
197702,27.3,5.0
197802,19.9,-2.4
197902,20.0,-2.3
198002,24.1,1.8
198102,26.1,3.8
198202,21.6,-0.7
198302,27.5,5.2
198402,22.7,0.4
198502,17.2,-5.1
198602,24.3,2.0
198702,26.9,4.6
198802,23.9,1.6
198902,12.7,-9.6
199002,22.7,0.4
199102,30.7,8.4
199202,30.2,7.9
199302,16.0,-6.3
199402,20.0,-2.3
199502,28.1,5.8
199602,24.2,1.9
199702,22.1,-0.2
199802,26.4,4.1
199902,28.0,5.7
200002,29.4,7.1
200102,19.8,-2.5
200202,22.9,0.6
200302,20.2,-2.1
200402,23.4,1.1
200502,26.6,4.3
200602,21.3,-1.0
200702,24.8,2.5
200802,23.4,1.1
200902,26.8,4.5
201002,21.5,-0.8
201102,18.0,-4.3
201202,22.7,0.4
201302,22.6,0.3
201402,20.0,-2.3
201502,28.4,6.1
201602,30.1,7.8
201702,27.8,5.5
201802,19.3,-3.0
201902,16.8,-5.5
202002,20.2,-2.1
202102,17.4,-4.9
