Connecticut, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,25.0,-1.3
195102,30.5,4.2
195202,29.4,3.1
195302,32.6,6.3
195402,33.8,7.5
195502,28.9,2.6
195602,30.1,3.8
195702,31.2,4.9
195802,22.2,-4.1
195902,24.7,-1.6
196002,31.9,5.6
196102,28.5,2.2
196202,24.0,-2.3
196302,21.4,-4.9
196402,25.2,-1.1
196502,25.8,-0.5
196602,27.5,1.2
196702,23.3,-3.0
196802,22.9,-3.4
196902,26.6,0.3
197002,27.2,0.9
197102,27.8,1.5
197202,24.6,-1.7
197302,26.4,0.1
197402,25.6,-0.7
197502,28.3,2.0
197602,32.6,6.3
197702,26.2,-0.1
197802,20.0,-6.3
197902,18.0,-8.3
198002,24.0,-2.3
198102,33.5,7.2
198202,28.0,1.7
198302,29.5,3.2
198402,34.3,8.0
198502,29.1,2.8
198602,25.7,-0.6
198702,26.3,0.0
198802,28.2,1.9
198902,27.7,1.4
199002,32.6,6.3
199102,32.9,6.6
199202,29.8,3.5
199302,23.1,-3.2
199402,22.8,-3.5
199502,25.8,-0.5
199602,27.4,1.1
199702,33.9,7.6
199802,35.2,8.9
199902,31.7,5.4
200002,31.3,5.0
200102,29.5,3.2
200202,34.1,7.8
200302,23.8,-2.5
200402,28.5,2.2
200502,29.7,3.4
200602,29.5,3.2
200702,23.3,-3.0
200802,29.8,3.5
200902,30.2,3.9
201002,29.8,3.5
201102,27.1,0.8
201202,35.0,8.7
201302,29.2,2.9
201402,25.0,-1.3
201502,15.8,-10.5
201602,32.0,5.7
201702,34.6,8.3
201802,35.7,9.4
201902,30.2,3.9
202002,33.9,7.6
202102,28.5,2.2
