Minnesota, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,10.4,-1.7
195102,13.1,1.0
195202,18.9,6.8
195302,13.7,1.6
195402,25.8,13.7
195502,8.1,-4.0
195602,8.3,-3.8
195702,13.2,1.1
195802,10.4,-1.7
195902,9.0,-3.1
196002,12.4,0.3
196102,19.8,7.7
196202,8.5,-3.6
196302,8.9,-3.2
196402,17.5,5.4
196502,6.8,-5.3
196602,9.5,-2.6
196702,4.2,-7.9
196802,9.4,-2.7
196902,14.0,1.9
197002,10.6,-1.5
197102,12.5,0.4
197202,5.8,-6.3
197302,16.0,3.9
197402,12.1,0.0
197502,11.2,-0.9
197602,21.8,9.7
197702,17.5,5.4
197802,6.3,-5.8
197902,2.8,-9.3
198002,10.8,-1.3
198102,19.2,7.1
198202,10.8,-1.3
198302,21.2,9.1
198402,24.3,12.2
198502,10.4,-1.7
198602,11.3,-0.8
198702,27.2,15.1
198802,7.6,-4.5
198902,3.6,-8.5
199002,16.6,4.5
199102,20.4,8.3
199202,22.5,10.4
199302,11.6,-0.5
199402,6.3,-5.8
199502,12.8,0.7
199602,12.0,-0.1
199702,15.0,2.9
199802,28.8,16.7
199902,23.2,11.1
200002,22.8,10.7
200102,6.7,-5.4
200202,23.8,11.7
200302,9.9,-2.2
200402,16.7,4.6
200502,20.3,8.2
200602,12.7,0.6
200702,7.7,-4.4
200802,9.4,-2.7
200902,15.0,2.9
201002,12.8,0.7
201102,13.2,1.1
201202,22.4,10.3
201302,13.0,0.9
201402,3.8,-8.3
201502,5.6,-6.5
201602,19.9,7.8
201702,23.9,11.8
201802,8.6,-3.5
201902,5.3,-6.8
202002,14.0,1.9
202102,6.6,-5.5
