Utah, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,31.2,0.9
195102,31.4,1.1
195202,25.9,-4.4
195302,30.9,0.6
195402,35.8,5.5
195502,20.2,-10.1
195602,25.2,-5.1
195702,34.1,3.8
195802,36.5,6.2
195902,31.1,0.8
196002,25.7,-4.6
196102,34.3,4.0
196202,31.8,1.5
196302,37.4,7.1
196402,25.3,-5.0
196502,30.1,-0.2
196602,26.2,-4.1
196702,32.1,1.8
196802,34.6,4.3
196902,28.7,-1.6
197002,36.2,5.9
197102,30.9,0.6
197202,34.1,3.8
197302,27.2,-3.1
197402,25.7,-4.6
197502,29.4,-0.9
197602,33.2,2.9
197702,33.1,2.8
197802,32.2,1.9
197902,25.9,-4.4
198002,33.2,2.9
198102,34.0,3.7
198202,28.8,-1.5
198302,33.5,3.2
198402,24.7,-5.6
198502,24.7,-5.6
198602,36.2,5.9
198702,32.5,2.2
198802,30.8,0.5
198902,25.8,-4.5
199002,29.3,-1.0
199102,34.7,4.4
199202,34.9,4.6
199302,28.1,-2.2
199402,29.8,-0.5
199502,39.3,9.0
199602,34.1,3.8
199702,29.5,-0.8
199802,31.5,1.2
199902,34.0,3.7
200002,36.0,5.7
200102,31.7,1.4
200202,29.0,-1.3
200302,31.0,0.7
200402,27.8,-2.5
200502,33.5,3.2
200602,31.5,1.2
200702,34.3,4.0
200802,30.5,0.2
200902,33.1,2.8
201002,29.9,-0.4
201102,28.6,-1.7
201202,31.7,1.4
201302,27.6,-2.7
201402,35.7,5.4
201502,38.9,8.6
201602,33.7,3.4
201702,36.5,6.2
201802,32.2,1.9
201902,27.2,-3.1
202002,31.1,0.8
202102,32.2,1.9
